Timestamp,CPU_Usage(%),Memory_Usage(%),Memory_Used(GB),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Temp(C),CPU_Temp(C),FPS,Frame_Count,Latency(ms)
2025-10-08 03:02:19,81.6,43.6,11.84,4.7,0.0,49.06,0.0,0.0,0,0.0
2025-10-08 03:02:25,69.2,43.4,11.8,36.4,0.0,48.62,0.0,0.0,0,0.0
2025-10-08 03:02:31,70.9,43.4,11.8,30.4,0.0,48.56,0.0,0.0,0,0.0
2025-10-08 03:02:37,81.2,43.5,11.83,58.4,0.0,48.84,0.0,0.0,0,0.0
2025-10-08 03:02:42,78.4,43.6,11.86,23.6,0.0,48.84,0.0,0.0,0,0.0
2025-10-08 03:02:47,96.8,47.0,12.87,43.0,0.0,49.38,0.0,0.0,0,0.0
2025-10-08 03:02:52,91.1,47.2,12.92,89.5,0.0,49.06,0.0,0.0,0,0.0
2025-10-08 03:02:58,92.2,47.2,12.94,71.9,0.0,49.09,0.0,0.0,0,0.0
2025-10-08 03:03:04,93.7,47.2,12.94,84.1,0.0,49.47,0.0,0.0,0,0.0
2025-10-08 03:03:09,92.6,47.2,12.93,66.6,0.0,49.09,0.0,0.0,0,0.0
2025-10-08 03:03:14,94.9,47.2,12.93,80.9,0.0,49.22,0.0,0.0,0,0.0
2025-10-08 03:03:19,89.3,47.2,12.93,68.6,0.0,49.34,0.0,0.0,0,0.0
2025-10-08 03:03:24,91.6,47.2,12.93,54.8,0.0,49.25,0.0,0.0,0,0.0
2025-10-08 03:03:29,90.2,47.2,12.93,50.8,0.0,49.5,0.0,0.0,0,0.0
2025-10-08 03:03:35,89.7,47.2,12.94,30.8,0.0,49.25,0.0,0.0,0,0.0
2025-10-08 03:03:40,97.5,47.4,12.99,42.3,0.0,49.62,0.0,0.0,0,0.0
2025-10-08 03:03:45,91.9,47.3,12.95,98.4,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:18:34,93.3,43.3,11.74,0.2,0.0,49.59,0.0,0.0,0,0.0
2025-10-08 03:18:39,91.1,43.4,11.78,11.7,0.0,49.69,0.0,0.0,0,0.0
2025-10-08 03:18:44,71.6,43.4,11.77,37.4,0.0,49.25,0.0,0.0,0,0.0
2025-10-08 03:18:49,76.9,43.4,11.77,18.9,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:18:54,82.3,43.5,11.78,46.4,0.0,49.28,0.0,0.0,0,0.0
2025-10-08 03:18:59,100.0,44.4,12.07,62.7,0.0,50.0,0.0,0.0,0,0.0
2025-10-08 03:19:04,95.0,47.0,12.84,81.5,0.0,49.53,0.0,0.0,0,0.0
2025-10-08 03:19:10,92.6,46.8,12.8,59.7,0.0,49.69,0.0,0.0,0,0.0
2025-10-08 03:19:15,85.7,46.9,12.82,46.4,0.0,49.59,0.0,0.0,0,0.0
2025-10-08 03:19:20,87.2,47.0,12.85,68.5,0.0,49.81,0.0,0.0,0,0.0
2025-10-08 03:19:25,92.4,46.9,12.84,53.7,0.0,50.09,0.0,0.0,0,0.0
2025-10-08 03:19:31,92.3,47.0,12.85,72.4,0.0,49.91,0.0,0.0,0,0.0
2025-10-08 03:24:07,97.6,47.3,13.02,9.4,0.0,49.34,0.0,0.0,0,0.0
2025-10-08 03:24:12,98.8,47.3,13.03,56.6,0.0,49.56,0.0,0.0,0,0.0
2025-10-08 03:24:17,96.3,47.3,13.03,45.8,0.0,49.56,0.0,0.0,0,0.0
2025-10-08 03:24:22,92.2,47.2,13.01,13.6,0.0,49.22,0.0,0.0,0,0.0
2025-10-08 03:24:28,97.4,47.5,13.08,52.9,0.0,49.75,0.0,0.0,0,0.0
2025-10-08 03:24:33,100.0,48.2,13.29,75.4,0.0,49.53,0.0,0.0,0,0.0
2025-10-08 03:24:38,98.7,51.6,14.31,33.8,0.0,49.78,0.0,0.0,0,0.0
2025-10-08 03:24:43,100.0,51.2,14.18,28.5,0.0,49.5,0.0,0.0,0,0.0
2025-10-08 03:24:48,100.0,51.4,14.24,67.4,0.0,49.56,0.0,0.0,0,0.0
2025-10-08 03:24:53,97.8,51.5,14.28,95.3,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:24:59,94.9,48.8,13.45,50.4,0.0,49.78,0.0,0.0,0,0.0
2025-10-08 03:27:18,82.9,44.9,12.31,3.5,0.0,49.31,0.0,0.0,0,0.0
2025-10-08 03:27:24,65.4,45.0,12.32,20.8,0.0,49.12,0.0,0.0,0,0.0
2025-10-08 03:27:30,63.7,44.7,12.25,18.9,0.0,48.97,0.0,0.0,0,0.0
2025-10-08 03:27:36,77.2,44.9,12.3,53.0,0.0,49.06,0.0,0.0,0,0.0
2025-10-08 03:27:41,84.3,45.2,12.38,11.7,0.0,49.47,0.0,0.0,0,0.0
2025-10-08 03:27:46,92.5,48.8,13.47,21.4,0.0,49.56,0.0,0.0,0,0.0
2025-10-08 03:27:51,93.8,48.9,13.5,19.4,0.0,49.84,0.0,0.0,0,0.0
2025-10-08 03:27:57,91.1,48.9,13.48,45.2,0.0,49.78,0.0,0.0,0,0.0
2025-10-08 03:28:03,94.9,48.8,13.47,39.2,0.0,49.62,0.0,0.0,0,0.0
2025-10-08 03:28:08,96.3,48.8,13.46,37.0,0.0,49.81,0.0,0.0,0,0.0
2025-10-08 03:28:13,89.9,48.9,13.49,39.7,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:28:18,96.2,48.9,13.5,41.0,0.0,50.09,0.0,0.0,0,0.0
2025-10-08 03:28:24,97.5,49.0,13.52,59.6,0.0,49.66,0.0,0.0,0,0.0
2025-10-08 03:28:30,91.5,49.0,13.53,43.4,0.0,49.78,0.0,0.0,0,0.0
2025-10-08 03:28:36,95.1,49.0,13.52,49.5,0.0,49.69,0.0,0.0,0,0.0
2025-10-08 03:28:42,93.8,49.0,13.52,90.2,0.0,49.81,0.0,0.0,0,0.0
2025-10-08 03:28:47,92.4,48.8,13.47,14.1,0.0,49.66,0.0,0.0,0,0.0
2025-10-08 03:28:52,95.2,48.9,13.51,34.5,0.0,49.88,0.0,0.0,0,0.0
2025-10-08 03:28:58,96.4,51.4,14.24,0.0,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:29:03,98.7,51.8,14.37,39.0,0.0,49.78,0.0,0.0,0,0.0
2025-10-08 03:29:08,98.7,51.6,14.32,89.8,0.0,49.81,0.0,0.0,0,0.0
2025-10-08 03:32:56,85.7,45.6,12.5,0.0,0.0,50.22,0.0,0.0,0,0.0
2025-10-08 03:33:01,62.0,45.6,12.51,48.0,0.0,49.12,0.0,0.0,0,0.0
2025-10-08 03:33:07,69.6,45.5,12.46,37.9,0.0,49.41,0.0,0.0,0,0.0
2025-10-08 03:33:12,61.9,45.5,12.46,48.8,0.0,49.41,0.0,0.0,0,0.0
2025-10-08 03:33:17,64.1,45.7,12.53,42.8,0.0,49.34,0.0,0.0,0,0.0
2025-10-08 03:33:22,97.5,49.1,13.55,40.3,0.0,49.41,0.0,0.0,0,0.0
2025-10-08 03:33:28,90.0,49.5,13.66,27.2,0.0,49.81,0.0,0.0,0,0.0
2025-10-08 03:33:34,89.0,49.3,13.62,77.1,0.0,49.53,0.0,0.0,0,0.0
2025-10-08 03:33:40,100.0,49.5,13.67,17.3,0.0,50.0,0.0,0.0,0,0.0
2025-10-08 03:33:46,92.7,49.4,13.64,69.6,0.0,49.62,0.0,0.0,0,0.0
2025-10-08 03:33:52,91.1,49.4,13.65,68.5,0.0,49.59,0.0,0.0,0,0.0
2025-10-08 03:33:57,95.0,49.3,13.62,72.3,0.0,49.72,0.0,0.0,0,0.0
2025-10-08 03:34:02,92.3,49.4,13.64,72.5,0.0,49.84,0.0,0.0,0,0.0
2025-10-08 03:38:27,77.5,45.9,12.58,3.6,0.0,49.38,0.0,0.0,0,0.0
2025-10-08 03:38:33,84.8,46.0,12.62,22.3,0.0,49.19,0.0,0.0,0,0.0
2025-10-08 03:38:39,67.5,45.7,12.51,47.6,0.0,49.44,0.0,0.0,0,0.0
2025-10-08 03:38:45,98.8,45.8,12.54,58.6,0.0,49.16,0.0,0.0,0,0.0
